title,price,location,Mileage,Drivetrain,Exterior color,Interior color,Fuel Consumption,Fuel type,Battery charge time,Battery range,Make:,Model:,Year:,Trim:,Body type:,Exterior colour:,Interior colour:,Mileage:,Condition:,VIN:,Stock number:,Combined gas mileage:,City gas mileage:,Highway gas mileage:,Fuel type:,Battery capacity:,Battery charge time (240V):,Battery range:,Transmission:,Drivetrain:,NHTSA overall safety rating:,NHTSA frontal crash rating:,NHTSA side crash rating:,NHTSA rollover rating:,Doors:,Front legroom:,Back legroom:,Cargo volume:,Transmission,Dealer:,Backup camera,Battery charge time (120V):,Cabin size:,Bed length:,Safety rating,Alloy wheels,Bluetooth
2022 Tesla Model 3 RWD,"$34,999","Truro, NS","51,060",Rear-Wheel Drive,Black,Black,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2022.0,RWD,Sedan,Black,Black,"51,060 km",Used,5YJ3E1EA7NF167406,67406,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,60 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,,,,,,,,,
2017 Tesla Model X 100D AWD,"$49,980","North Vancouver, BC","136,200",All-Wheel Drive,White,,2.655 L/100km,Electric,12 hr,475 km,Tesla,Model X,2017.0,100D AWD,SUV / Crossover,White,,"136,200 km",Used,5YJXCBE21HF042038,7022,2.7 L/100km,2.7 L/100km,2.6 L/100km,Electric,100 kWh,12 hr,475 km,Automatic,All-Wheel Drive,,,,,4 doors,1046 mm,975 mm,736 L,Automatic,,,,,,,,
2020 Tesla Model 3,"$31,690","Richmond, BC","41,722",,White,,,Electric,,,Tesla,Model 3,2020.0,,,White,,"41,722 km",Used,5YJ3E1EA8LF738754,A38754,,,,Electric,,,,Automatic,,,,,,,,,,Automatic,,,,,,,,
2019 Tesla Model 3 Standard Plus RWD,"$26,888","North York, ON","42,000",Rear-Wheel Drive,Black,,1.9 L/100km,Electric,10 hr,386 km,Tesla,Model 3,2019.0,Standard Plus RWD,Sedan,Black,,"42,000 km",Used,413952,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,386 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,Automatic,,,,,,,,
2022 Tesla Model 3 Long Range AWD,"$39,990","Calgary, AB • Home delivery available","50,870",All-Wheel Drive,Midnight Silver Metallic,Black,1.9 L/100km,Electric,10 hr,538 km,Tesla,Model 3,2022.0,Long Range AWD,Sedan,Midnight Silver Metallic,Black,"50,870 km",Used,5YJ3E1EB2NF276591,XB76591,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,82 kWh,10 hr,538 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,,,,,,,,,
2023 Tesla Model 3 Long Range AWD,"$41,995","Etobicoke, ON","27,000",All-Wheel Drive,Gray,Black,1.9 L/100km,Electric,11.5 hr,576 km,Tesla,Model 3,2023.0,Long Range AWD,Sedan,Gray,Black,"27,000 km",Used,LRW3E1EBXPC876241,5005,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,82 kWh,11.5 hr,576 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,,,,,,,,,
2015 Tesla Model S 85D AWD,"$23,995","Toronto, ON","130,000",All-Wheel Drive,White,,2.365 L/100km,Electric,12 hr,435 km,Tesla,Model S,2015.0,85D AWD,Sedan,White,,"130,000 km",Used,5YJSA1H23FFP74769,P74769,2.4 L/100km,2.5 L/100km,2.2 L/100km,Electric,85 kWh,12 hr,435 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,899 mm,894 L,Automatic,Lion Motor Sales,,,,,,,
2020 Tesla Model 3 Long Range AWD,"$32,800","Concord, ON","48,000",All-Wheel Drive,Gray,,1.945 L/100km,Electric,10 hr,518 km,Tesla,Model 3,2020.0,Long Range AWD,Sedan,Gray,,"48,000 km",Used,5YJ3E1EBXLF670479,M10-670479,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,518 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2020 Tesla Model 3 Standard Range Plus RWD,"$29,555","Richmond, BC","69,838",Rear-Wheel Drive,White,Black,1.9 L/100km,Electric,10 hr,402 km,Tesla,Model 3,2020.0,Standard Range Plus RWD,Sedan,White,Black,"69,838 km",Used,5YJ3E1EAXLF703956,V24085A,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,402 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2023 Tesla Model 3 Long Range AWD,"$42,880","Concord, ON","26,000",All-Wheel Drive,Blue,,1.9 L/100km,Electric,11.5 hr,576 km,Tesla,Model 3,2023.0,Long Range AWD,Sedan,Blue,,"26,000 km",Used,M06-933578,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,82 kWh,11.5 hr,576 km,Automatic,All-Wheel Drive,4 doors,,,,,1085 mm,894 mm,648 L,,Automatic,,,,,,,,
2023 Tesla Model Y RWD,"$40,900","Concord, ON","24,900",Rear-Wheel Drive,Gray,,,Electric,9.4 hr,418 km,Tesla,Model Y,2023.0,RWD,SUV / Crossover,Gray,,"24,900 km",Used,LRWYGDFD9PC057724,M11-057724,,,,Electric,67.6 kWh,9.4 hr,418 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1064 mm,1029 mm,971 L,Automatic,,,,,,,,
2016 Tesla Model X 90D AWD,"$37,895","Milton, ON","129,710",All-Wheel Drive,Blue,Black,2.555 L/100km,Electric,12 hr,414 km,Tesla,Model X,2016.0,90D AWD,SUV / Crossover,Blue,Black,"129,710 km",Used,5YJXCBE28GF007513,D8664,2.6 L/100km,2.6 L/100km,2.5 L/100km,Electric,90 kWh,12 hr,414 km,Automatic,All-Wheel Drive,,,,,4 doors,1046 mm,975 mm,736 L,,,,,,,,,
2019 Tesla Model 3 Standard Plus RWD,"$22,490","Concord, ON","115,788",Rear-Wheel Drive,,,1.9 L/100km,Electric,10 hr,386 km,Tesla,Model 3,2019.0,Standard Plus RWD,Sedan,,,"115,788 km",Used,5YJ3E1EA9KF425906,M10-425906,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,386 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2019 Tesla Model 3 Long Range RWD,"$25,729","Drummondville, QC","98,700",Rear-Wheel Drive,Pearl White Multi-Coat,Black,1.9 L/100km,Electric,10 hr,499 km,Tesla,Model 3,2019.0,Long Range RWD,Sedan,Pearl White Multi-Coat,Black,"98,700 km",Used,5YJ3E1EA4KF315166,D255,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,75 kWh,10 hr,499 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2021 Tesla Model 3 Standard Range Plus RWD,"$34,900","Coquitlam, BC","23,317",Rear-Wheel Drive,White,,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,White,,"23,317 km",Used,5YJ3E1EA9MF871427,871427,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2022 Tesla Model Y Long Range AWD,"$51,999","Surrey, BC","30,679",All-Wheel Drive,,,,Electric,10 hr,531 km,Tesla,Model Y,2022.0,Long Range AWD,SUV / Crossover,,,"30,679 km",Used,7SAYGDEE1NF447832,PB1087A,,,,Electric,75 kWh,10 hr,531 km,1-Speed Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,971 L,1-Speed Automatic,,,,,,,,
2023 Tesla Model Y RWD,"$40,996","Concord, ON","24,500",Rear-Wheel Drive,Gray,,,Electric,9.4 hr,418 km,Tesla,Model Y,2023.0,RWD,SUV / Crossover,Gray,,"24,500 km",Used,LRWYGDFD4PC164261,M11-164261,,,,Electric,67.6 kWh,9.4 hr,418 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1064 mm,1029 mm,971 L,Automatic,,,,,,,,
2023 Tesla Model 3 Long Range AWD,"$40,888","Concord, ON","30,136",All-Wheel Drive,White,Black,1.9 L/100km,Electric,11.5 hr,576 km,Tesla,Model 3,2023.0,Long Range AWD,Sedan,White,Black,"30,136 km",Used,LRW3E1EB6PC872820,5189-P,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,82 kWh,11.5 hr,576 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,,,,,,,,,
2020 Tesla Model 3 Performance AWD,"$36,880","Concord, ON","60,716",All-Wheel Drive,Gray,,1.945 L/100km,Electric,10 hr,481 km,Tesla,Model 3,2020.0,Performance AWD,Sedan,Gray,,"60,716 km",Used,M08-834195,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,481 km,Automatic,All-Wheel Drive,4 doors,,,,,1085 mm,894 mm,424 L,,Automatic,,,,,,,,
2020 Tesla Model 3 Standard Range Plus RWD,"$26,888","North York, ON","72,000",Rear-Wheel Drive,Red,,1.9 L/100km,Electric,10 hr,402 km,Tesla,Model 3,2020.0,Standard Range Plus RWD,Sedan,Red,,"72,000 km",Used,5YJ3E1EA0LF717199,717199,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,402 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2019 Tesla Model 3 Performance AWD,"$29,995","Abbotsford, BC","95,648",All-Wheel Drive,Blue,Black,,Electric,10 hr,499 km,Tesla,Model 3,2019.0,Performance AWD,Sedan,Blue,Black,"95,648 km",Used,5YJ3E1EB2KF415159,19-415159,,,,Electric,75 kWh,10 hr,499 km,1-Speed Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,1-Speed Automatic,,,,,,,,
2023 Tesla Model X Standard Range AWD,"$95,888","Vaughan, ON","31,762",All-Wheel Drive,White,Black,2.29 L/100km,Electric,14 hr,560 km,Tesla,Model X,2023.0,Standard Range AWD,Sedan,White,Black,"31,762 km",Used,7SAXCAE55PF412056,7681,2.3 L/100km,2.2 L/100km,2.4 L/100km,Electric,100 kWh,14 hr,560 km,Automatic,All-Wheel Drive,,,,,4 doors,1044 mm,983 mm,1231 L,,,,,,,,,
2021 Tesla Model Y Long Range AWD,"$37,480","Concord, ON","93,469",All-Wheel Drive,White,,1.945 L/100km,Electric,10 hr,509 km,Tesla,Model Y,2021.0,Long Range AWD,SUV / Crossover,White,,"93,469 km",Used,5YJYGDEE6MF185494,Ma10-F185494,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,509 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,Automatic,,,,,,,,
2020 Tesla Model 3 Standard Range AWD,"$23,990","Concord, ON","94,360",All-Wheel Drive,White,,,Electric,10 hr,354 km,Tesla,Model 3,2020.0,Standard Range AWD,Sedan,White,,"94,360 km",Used,5YJ3E1EA0LF794302,M09-794302,,,,Electric,50 kWh,10 hr,354 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2022 Tesla Model 3 Performance AWD,"$43,880","Concord, ON","46,600",All-Wheel Drive,Black,,2.09 L/100km,Electric,10 hr,507 km,Tesla,Model 3,2022.0,Performance AWD,Sedan,Black,,"46,600 km",Used,Ma05-883873,2.1 L/100km,2 L/100km,2.2 L/100km,Electric,82 kWh,10 hr,507 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,,Automatic,,,,,,,,
2016 Tesla Model X P90D AWD,"$50,450","Richmond, BC","81,000",All-Wheel Drive,Gray,,2.6 L/100km,Electric,12 hr,402 km,Tesla,Model X,2016.0,P90D AWD,SUV / Crossover,Gray,,"81,000 km",Used,5YJXCBE48GFS02609,TXS02609,2.6 L/100km,2.6 L/100km,2.6 L/100km,Electric,90 kWh,12 hr,402 km,Automatic,All-Wheel Drive,,,,,4 doors,1046 mm,975 mm,736 L,Automatic,,,,,,,,
2014 Tesla Model S P85 RWD,"$23,995","Oakville, ON","115,000",Rear-Wheel Drive,White,,2.655 L/100km,Electric,12 hr,407 km,Tesla,Model S,2014.0,P85 RWD,Sedan,White,,"115,000 km",Used,5YJSA1H11EFP45681,6572,2.7 L/100km,2.7 L/100km,2.6 L/100km,Electric,85 kWh,12 hr,407 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,899 mm,894 L,Automatic,,,,,,,,
2021 Tesla Model Y Standard Range RWD,"$42,777","Surrey, BC","35,001",Rear-Wheel Drive,White,,1.945 L/100km,Electric,10 hr,393 km,Tesla,Model Y,2021.0,Standard Range RWD,SUV / Crossover,White,,"35,001 km",Used,5YJYGDED7MF119284,P207920A,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,393 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,Automatic,,,,,,,,
2020 Tesla Model 3 Standard Range Plus RWD,"$28,800","Kitchener, ON","53,936",Rear-Wheel Drive,White,Black,1.9 L/100km,Electric,10 hr,402 km,Tesla,Model 3,2020.0,Standard Range Plus RWD,Sedan,White,Black,"53,936 km",Used,5YJ3E1EA5LF794232,14961,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,402 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2021 Tesla Model 3 Long Range AWD,"$35,980","Concord, ON","47,200",All-Wheel Drive,White,,1.9 L/100km,Electric,10 hr,568 km,Tesla,Model 3,2021.0,Long Range AWD,Sedan,White,,"47,200 km",Used,5YJ3E1EB1MF047382,M10-047382,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,82 kWh,10 hr,568 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2014 Tesla Model S,"$19,995","Etobicoke, ON • Home delivery available","159,669",,,,,,,,Tesla,Model S,2014.0,,Sedan,,,"159,669 km",Used,5YJSA1H15EFP58093,,,,,,,,,Automatic,,,,,,,,,,Automatic,,5/5 stars,,,,,,
2018 Tesla Model 3 Long Range AWD,"$24,498","St-leonard, QC • Home delivery available","92,107",All-Wheel Drive,Black,Black,2.045 L/100km,Electric,10 hr,499 km,Tesla,Model 3,2018.0,Long Range AWD,Sedan,Black,Black,"92,107 km",Used,5YJ3E1EB9JF106710,615109,2 L/100km,2 L/100km,2.1 L/100km,Electric,75 kWh,10 hr,499 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2020 Tesla Model 3 Standard Range AWD,"$24,995","Concord, ON","78,966",All-Wheel Drive,Gray,,,Electric,10 hr,354 km,Tesla,Model 3,2020.0,Standard Range AWD,Sedan,Gray,,"78,966 km",Used,5YJ3E1EA7LF734226,M08-734226,,,,Electric,50 kWh,10 hr,354 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2020 Tesla Model 3 Standard Range Plus RWD,"$24,988","Oakville, ON","100,000",Rear-Wheel Drive,Red,Black,1.9 L/100km,Electric,10 hr,402 km,Tesla,Model 3,2020.0,Standard Range Plus RWD,Sedan,Red,Black,"100,000 km",Used,RLF8088359,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,402 km,Automatic,Rear-Wheel Drive,4 doors,,,,,1085 mm,894 mm,424 L,,,,,,,,,,
2022 Tesla Model X Plaid AWD,"$120,888","Vaughan, ON","9,399",All-Wheel Drive,White,Black,2.39 L/100km,Electric,,504 km,Tesla,Model X,2022.0,Plaid AWD,SUV / Crossover,White,Black,"9,399 km",Used,7693,2.4 L/100km,2.3 L/100km,2.5 L/100km,Electric,100 kWh,504 km,,Automatic,All-Wheel Drive,4 doors,,,,,1044 mm,983 mm,608 L,,Automatic,,,,,,,,
2021 Tesla Model 3 Standard Range Plus RWD,"$29,880","Concord, ON","45,330",Rear-Wheel Drive,Black,,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,Black,,"45,330 km",Used,5YJ3E1EA0MF083877,M09-083877,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2021 Tesla Model 3 Standard Range Plus RWD,"$28,990","Bedford, NS","72,102",Rear-Wheel Drive,White,White,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,White,White,"72,102 km",Used,5YJ3E1EA9MF083683,39324,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2021 Tesla Model Y Long Range AWD,"$40,980","Concord, ON","63,588",All-Wheel Drive,Gray,,1.945 L/100km,Electric,10 hr,509 km,Tesla,Model Y,2021.0,Long Range AWD,SUV / Crossover,Gray,,"63,588 km",Used,5YJYGDEE1MF061990,Ma10-061990,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,509 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,Automatic,,,,,,,,
2020 Tesla Model 3 Standard Range Plus RWD,"$23,800","Concord, ON","115,000",Rear-Wheel Drive,White,,1.9 L/100km,Electric,10 hr,402 km,Tesla,Model 3,2020.0,Standard Range Plus RWD,Sedan,White,,"115,000 km",Used,5YJ3E1EA9LF794122,D10-794122,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,402 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2023 Tesla Model 3 Long Range AWD,"$41,888","Concord, ON","20,659",All-Wheel Drive,Blue,Black,1.9 L/100km,Electric,11.5 hr,576 km,Tesla,Model 3,2023.0,Long Range AWD,Sedan,Blue,Black,"20,659 km",Used,LRW3E1EB6PC924625,5183-P,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,82 kWh,11.5 hr,576 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,,,,,,,,,
2020 Tesla Model 3 Standard Range AWD,"$24,995","Concord, ON","79,400",All-Wheel Drive,Black,,,Electric,10 hr,354 km,Tesla,Model 3,2020.0,Standard Range AWD,Sedan,Black,,"79,400 km",Used,5YJ3E1EA7LF793776,M10-793776,,,,Electric,50 kWh,10 hr,354 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2020 Tesla Model 3 Standard Range Plus RWD,"$28,800","Richmond, BC","78,000",Rear-Wheel Drive,Gray,Black,1.9 L/100km,Electric,10 hr,402 km,Tesla,Model 3,2020.0,Standard Range Plus RWD,Sedan,Gray,Black,"78,000 km",Used,5YJ3E1EA4LF625318,LR24-371,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,402 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2019 Tesla Model 3 Standard Plus RWD,"$17,880","Concord, ON","190,000",Rear-Wheel Drive,White,,1.9 L/100km,Electric,10 hr,386 km,Tesla,Model 3,2019.0,Standard Plus RWD,Sedan,White,,"190,000 km",Used,5YJ3E1EA4KF426526,D10-426526,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,386 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2021 Tesla Model Y Long Range AWD,"$46,450","Chilliwack, BC","41,372",All-Wheel Drive,Gray,Black,,Electric,10 hr,509 km,Tesla,Model Y,2021.0,Long Range AWD,SUV / Crossover,Gray,Black,"41,372 km",Used,5YJYGDEEXMF279930,M24-0630P,,,,Electric,75 kWh,10 hr,509 km,1-Speed Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,1-Speed Automatic,,,,,,,,
2020 Tesla Model 3 Standard Range AWD,"$24,995","Concord, ON","79,889",All-Wheel Drive,Blue,,,Electric,10 hr,354 km,Tesla,Model 3,2020.0,Standard Range AWD,Sedan,Blue,,"79,889 km",Used,5YJ3E1EA0LF793991,D10-793991,,,,Electric,50 kWh,10 hr,354 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2021 Tesla Model 3 Standard Range Plus RWD,"$27,880","Concord, ON","71,700",Rear-Wheel Drive,White,,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,White,,"71,700 km",Used,5YJ3E1EA9MF985198,M10-985198,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2022 Tesla Model 3 RWD,"$28,800","Concord, ON","92,380",Rear-Wheel Drive,White,,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2022.0,RWD,Sedan,White,,"92,380 km",Used,5YJ3E1EA5NF178033,M11-178033,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,60 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,Automatic,,,,,,,,
2021 Tesla Model S Plaid AWD,"$88,000","Vancouver, BC","39,650",All-Wheel Drive,White,,,Electric,15 hr,628 km,Tesla,Model S,2021.0,Plaid AWD,Sedan,White,,"39,650 km",Used,5YJSA1E6XMF453560,VMSH453560,,,,Electric,100 kWh,15 hr,628 km,1-Speed Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,899 mm,744 L,1-Speed Automatic,,,,,,,,
2019 Tesla Model 3 Standard Plus RWD,"$25,888","North York, ON","63,000",Rear-Wheel Drive,Blue,,1.9 L/100km,Electric,10 hr,386 km,Tesla,Model 3,2019.0,Standard Plus RWD,Sedan,Blue,,"63,000 km",Used,5YJ3E1EA1KF422773,422773,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,386 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2019 Tesla Model 3 Long Range AWD,"$29,980","Montréal, QC • Home delivery available","63,856",All-Wheel Drive,Blue,Black,2.045 L/100km,Electric,10 hr,499 km,Tesla,Model 3,2019.0,Long Range AWD,Sedan,Blue,Black,"63,856 km",Used,5YJ3E1EB6KF437679,OV-P20847A,2 L/100km,2 L/100km,2.1 L/100km,Electric,75 kWh,10 hr,499 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2022 Tesla Model Y Long Range AWD,"$52,800","Burnaby, BC","29,381",All-Wheel Drive,Black,Black,1.945 L/100km,Electric,10 hr,531 km,Tesla,Model Y,2022.0,Long Range AWD,SUV / Crossover,Black,Black,"29,381 km",Used,7SAYGDEE3NA006586,P1542,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,531 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,971 L,,,,,,,,,
2020 Tesla Model 3 Standard Range Plus RWD,"$30,800","Kitchener, ON","32,837",Rear-Wheel Drive,White,Black,1.9 L/100km,Electric,10 hr,402 km,Tesla,Model 3,2020.0,Standard Range Plus RWD,Sedan,White,Black,"32,837 km",Used,5YJ3E1EAXLF794131,15429,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,402 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2021 Tesla Model 3 Standard Range Plus RWD,"$25,900","Concord, ON","97,700",Rear-Wheel Drive,Blue,,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,Blue,,"97,700 km",Used,5YJ3E1EA4MF857371,M10-857371,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2017 Tesla Model X,"$53,990","Calgary, AB","53,500",,Gray,,,,,,Tesla,Model X,2017.0,,SUV / Crossover,Gray,,"53,500 km",Used,5YJXCBE25HF065872,UFP3815B,,,,,,,,Automatic,,,,,,,,,,Automatic,,,,,,,,
2020 Tesla Model 3 Long Range AWD,"$34,490","Concord, ON","32,453",All-Wheel Drive,White,,1.945 L/100km,Electric,10 hr,518 km,Tesla,Model 3,2020.0,Long Range AWD,Sedan,White,,"32,453 km",Used,M07-883230,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,518 km,Automatic,All-Wheel Drive,4 doors,,,,,1085 mm,894 mm,424 L,,Automatic,,,,,,,,
2023 Tesla Model 3 Long Range AWD,"$40,999","Calgary, AB","71,456",All-Wheel Drive,Black,Black,1.9 L/100km,Electric,11.5 hr,576 km,Tesla,Model 3,2023.0,Long Range AWD,Sedan,Black,Black,"71,456 km",Used,5YJ3E1EB3PF701660,CG142812A,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,82 kWh,11.5 hr,576 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,,,,,,,,,
2019 Tesla Model 3 Long Range AWD,"$27,995","Toronto, ON","99,025",All-Wheel Drive,Blue,,,Electric,10 hr,499 km,Tesla,Model 3,2019.0,Long Range AWD,Sedan,Blue,,"99,025 km",Used,5YJ3E1EA2KF425861,2KF425861,,,,Electric,75 kWh,10 hr,499 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2022 Tesla Model 3 RWD,"$30,900","Concord, ON","65,400",Rear-Wheel Drive,White,,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2022.0,RWD,Sedan,White,,"65,400 km",Used,5YJ3E1EA8NF152557,NOXL-152557,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,60 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,Automatic,,,,,,,,
2021 Tesla Model Y Performance AWD,"$47,998","Surrey, BC","77,203",All-Wheel Drive,White,,2.09 L/100km,Electric,10 hr,507 km,Tesla,Model Y,2021.0,Performance AWD,SUV / Crossover,White,,"77,203 km",Used,5YJYGDEF8MF197185,GL0429,2.1 L/100km,2 L/100km,2.2 L/100km,Electric,75 kWh,10 hr,507 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,1925 L,Automatic,,,,,,,,
2016 Tesla Model X 75D AWD,"$43,888","Surrey, BC","114,250",All-Wheel Drive,Gray,,2.555 L/100km,Electric,12 hr,383 km,Tesla,Model X,2016.0,75D AWD,SUV / Crossover,Gray,,"114,250 km",Used,5YJXCDE22GF026019,A554,2.6 L/100km,2.6 L/100km,2.5 L/100km,Electric,75 kWh,12 hr,383 km,Automatic,All-Wheel Drive,,,,,4 doors,1046 mm,975 mm,736 L,Automatic,,,,,,,,
